Date,Close,Open,High,Low
1/3/20,3234.85,3226.36,3246.15,3222.34
1/2/20,3257.85,3244.67,3258.14,3235.53
12/31/19,3230.78,3215.18,3231.72,3212.03
12/30/19,3221.29,3240.09,3240.92,3216.57
12/27/19,3240.02,3247.23,3247.93,3234.37
12/26/19,3239.91,3227.2,3240.08,3227.2
12/24/19,3223.38,3225.45,3226.43,3220.51
12/23/19,3224.01,3226.05,3227.78,3222.3
12/20/19,3221.22,3223.33,3225.65,3216.03
12/19/19,3205.37,3192.32,3205.48,3192.32
12/18/19,3191.14,3195.21,3198.48,3191.14
12/17/19,3192.52,3195.4,3198.22,3191.03
12/16/19,3191.45,3183.63,3197.71,3183.63
12/13/19,3168.8,3166.65,3182.68,3156.51
12/12/19,3168.57,3141.23,3176.28,3138.47
12/11/19,3141.63,3135.75,3143.98,3133.21
12/10/19,3132.52,3135.36,3142.12,3126.09
12/9/19,3135.96,3141.86,3148.87,3135.46
12/6/19,3145.91,3134.62,3150.6,3134.62
12/5/19,3117.43,3119.21,3119.45,3103.76
12/4/19,3112.76,3103.5,3119.38,3102.53
12/3/19,3093.2,3087.41,3094.97,3070.33
12/2/19,3113.87,3143.85,3144.31,3110.78
11/29/19,3140.98,3147.18,3150.3,3139.34
11/27/19,3153.63,3145.49,3154.26,3143.41
11/26/19,3140.52,3134.85,3142.69,3131
11/25/19,3133.64,3117.44,3133.83,3117.44
11/22/19,3110.29,3111.41,3112.87,3099.26
11/21/19,3103.54,3108.49,3110.11,3094.55
11/20/19,3108.46,3114.66,3118.97,3091.41
11/19/19,3120.18,3127.45,3127.64,3113.47
11/18/19,3122.03,3117.91,3124.17,3112.06
11/15/19,3120.46,3107.92,3120.46,3104.6
11/14/19,3096.63,3090.75,3098.2,3083.26
11/13/19,3094.04,3084.18,3098.06,3078.8
11/12/19,3091.84,3089.28,3102.61,3084.73
11/11/19,3087.01,3080.33,3088.33,3075.82
11/8/19,3093.08,3081.25,3093.09,3073.58
11/7/19,3085.18,3087.02,3097.77,3080.23
11/6/19,3076.78,3075.1,3078.34,3065.89
11/5/19,3074.62,3080.8,3083.95,3072.15
11/4/19,3078.27,3078.96,3085.2,3074.87
11/1/19,3066.91,3050.72,3066.95,3050.72
10/31/19,3037.56,3046.9,3046.9,3023.19
10/30/19,3046.77,3039.74,3050.1,3025.96
10/29/19,3036.89,3035.39,3047.87,3034.81
10/28/19,3039.42,3032.12,3044.08,3032.12
10/25/19,3022.55,3003.32,3027.39,3001.94
10/24/19,3010.29,3014.78,3016.07,3000.42
10/23/19,3004.52,2994.01,3004.78,2991.21
10/22/19,2995.99,3010.73,3014.57,2995.04
10/21/19,3006.72,2996.48,3007.33,2995.35
10/18/19,2986.2,2996.84,3000,2976.31
10/17/19,2997.95,3000.77,3008.29,2991.79
10/16/19,2989.69,2989.68,2997.54,2985.2
10/15/19,2995.68,2973.61,3003.28,2973.61
10/14/19,2966.15,2965.81,2972.84,2962.94
10/11/19,2970.27,2963.07,2993.28,2963.07
10/10/19,2938.13,2918.55,2948.46,2917.12
10/9/19,2919.4,2911.1,2929.32,2907.41
10/8/19,2893.06,2920.4,2925.47,2892.66
10/7/19,2938.79,2944.23,2959.75,2935.68
10/4/19,2952.01,2918.56,2953.74,2918.56
10/3/19,2910.63,2885.38,2911.13,2855.94
10/2/19,2887.61,2924.78,2924.78,2874.93
10/1/19,2940.25,2983.69,2992.53,2938.7
9/30/19,2976.74,2967.07,2983.85,2967.07
9/27/19,2961.79,2985.47,2987.31,2945.53
9/26/19,2977.62,2985.73,2987.28,2963.71
9/25/19,2984.87,2968.35,2989.82,2952.86
9/24/19,2966.6,3002.43,3007.98,2957.73
9/23/19,2991.78,2983.5,2999.15,2982.23
9/20/19,2992.07,3008.42,3016.37,2984.68
9/19/19,3006.79,3010.36,3021.99,3003.16
9/18/19,3006.73,3001.5,3007.83,2978.57
9/17/19,3005.7,2995.67,3006.21,2993.73
9/16/19,2997.96,2996.41,3002.19,2990.67
9/13/19,3007.39,3012.21,3017.33,3002.9
9/12/19,3009.57,3009.08,3020.74,3000.92
9/11/19,3000.93,2981.41,3000.93,2975.31
9/10/19,2979.39,2971.01,2979.39,2957.01
9/9/19,2978.43,2988.43,2989.43,2969.39
9/6/19,2978.71,2980.33,2985.03,2972.51
9/5/19,2976,2960.6,2985.86,2960.6
9/4/19,2937.78,2924.67,2938.84,2921.86
9/3/19,2906.27,2909.01,2914.39,2891.85
8/30/19,2926.46,2937.09,2940.43,2913.32
8/29/19,2924.58,2910.37,2930.5,2905.67
8/28/19,2887.94,2861.28,2890.03,2853.05
8/27/19,2869.16,2893.14,2898.79,2860.59
8/26/19,2878.38,2866.7,2879.27,2856
8/23/19,2847.11,2911.07,2927.01,2834.97
8/22/19,2922.95,2930.94,2939.08,2904.51
8/21/19,2924.43,2922.04,2928.73,2917.91
8/20/19,2900.51,2919.01,2923.63,2899.6
8/19/19,2923.65,2913.48,2931,2913.48
8/16/19,2888.68,2864.74,2893.63,2864.74
8/15/19,2847.6,2846.2,2856.67,2825.51
8/14/19,2840.6,2894.15,2894.15,2839.64
8/13/19,2926.32,2880.72,2943.31,2877.05
8/12/19,2883.09,2907.07,2907.58,2873.14
8/9/19,2918.65,2930.51,2935.75,2900.15
8/8/19,2938.09,2896.21,2938.72,2894.47
8/7/19,2883.98,2858.65,2892.17,2825.71
8/6/19,2881.77,2861.18,2884.4,2847.42
8/5/19,2844.74,2898.07,2898.07,2822.12
8/2/19,2932.05,2943.9,2945.5,2914.11
8/1/19,2953.56,2980.32,3013.59,2945.23
7/31/19,2980.38,3016.22,3017.4,2958.08
7/30/19,3013.18,3007.66,3017.19,3000.94
7/29/19,3020.97,3024.47,3025.61,3014.3
7/26/19,3025.86,3013.25,3027.98,3012.59
7/25/19,3003.67,3016.26,3016.31,2997.24
7/24/19,3019.56,2998.77,3019.59,2996.82
7/23/19,3005.47,2994.74,3005.9,2988.56
7/22/19,2985.03,2981.93,2990.71,2976.65
7/19/19,2976.61,3004.26,3006.02,2975.86
7/18/19,2995.11,2978.87,2998.28,2973.09
7/17/19,2984.42,3005.1,3005.26,2984.25
7/16/19,3004.04,3012.13,3015.02,3001.15
7/15/19,3014.3,3017.8,3017.8,3008.77
7/12/19,3013.77,3003.36,3013.92,3001.87
7/11/19,2999.91,2999.62,3002.33,2988.8
7/10/19,2993.07,2989.3,3002.98,2984.62
7/9/19,2979.63,2965.52,2981.9,2963.44
7/8/19,2975.95,2979.77,2980.76,2970.09
